"Status","Name","DisplayName","BinaryPathName"
"Running","Appinfo","Application Information","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)","C:\Windows\system32\svchost.exe -k wsappx -p"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","Audiosrv","Windows Audio","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","BFE","Base Filtering Engine","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","BthAvctpSvc","AVCTP service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","camsvc","Capability Access Manager Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Running","CaptureService_88c8e","CaptureService_88c8e","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","cbdhsvc_88c8e","Clipboard User Service_88c8e","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"Running","CDPSvc","Connected Devices Platform Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","CDPUserSvc_88c8e","Connected Devices Platform User Service_88c8e","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"Running","client_service","VMware Horizon Client","""C:\Program Files\VMware\VMware Horizon View Client\ClientService\horizon_client_service.exe"" -SCMStartup mfwStartFlags=2"
"Running","CoreMessagingRegistrar","CoreMessaging","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"Running","CryptSvc","Cryptographic Services","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Running","DcomLaunch","DCOM Server Process Launcher","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","DeviceAssociationService","Device Association Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DeviceInstall","Device Install Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","Dhcp","DHCP Client","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","DiagTrack","Connected User Experiences and Telemetry","C:\Windows\System32\svchost.exe -k utcsvc -p"
"Running","DispBrokerDesktopSvc","Display Policy Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","Dnscache","DNS Client","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Running","DoSvc","Delivery Optimization","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Running","DPS","Diagnostic Policy Service","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Running","DsSvc","Data Sharing Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DusmSvc","Data Usage","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","EFS","Encrypting File System (EFS)","C:\Windows\System32\lsass.exe"
"Running","EventLog","Windows Event Log","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","EventSystem","COM+ Event System","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","FontCache","Windows Font Cache Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","ftnlsv3hv","VMware Netlink Supervisor Service","""C:\Program Files\Common Files\VMware\DeviceRedirectionCommon\ftnlsv.exe"""
"Running","ftscanmgrhv","VMware Scanner Redirection Client","""C:\Program Files\Common Files\VMware\ScannerRedirection\ftscanmgrhv.exe"""
"Running","GameInput Service","GameInput Service","""C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe"""
"Running","GamingServices","Gaming Services","C:\Program Files\WindowsApps\Microsoft.GamingServices_7.70.13002.0_x64__8wekyb3d8bbwe\GamingServices.exe"
"Running","GamingServicesNet","Gaming Services","C:\Program Files\WindowsApps\Microsoft.GamingServices_7.70.13002.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"
"Running","hidserv","Human Interface Device Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","InstallService","Microsoft Store Install Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Running","iphlpsvc","IP Helper","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"Running","KeyIso","CNG Key Isolation","C:\Windows\system32\lsass.exe"
"Running","LanmanServer","Server","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","LanmanWorkstation","Workstation","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Running","lfsvc","Geolocation Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","LicenseManager","Windows License Manager Service","C:\Windows\System32\svchost.exe -k LocalService -p"
"Running","lmhosts","TCP/IP NetBIOS Helper","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","LSM","Local Session Manager","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","MacriumService","Macrium Service","""C:\Program Files\Macrium\Common\MacriumService.exe"""
"Running","mpssvc","Windows Defender Firewall","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
